===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 17/140 [==>...........................] - ETA: 441s - loss: 0.3900 - acc: 0.8382
 18/140 [==>...........................] - ETA: 440s - loss: 0.3873 - acc: 0.8403
 19/140 [===>..........................] - ETA: 439s - loss: 0.3827 - acc: 0.8421
 20/140 [===>..........................] - ETA: 437s - loss: 0.3780 - acc: 0.8438
 21/140 [===>..........................] - ETA: 437s - loss: 0.3755 - acc: 0.8438
 22/140 [===>..........................] - ETA: 431s - loss: 0.3704 - acc: 0.8473
 23/140 [===>..........................] - ETA: 427s - loss: 0.3743 - acc: 0.8465
 24/140 [====>.........................] - ETA: 423s - loss: 0.3723 - acc: 0.8477
 25/140 [====>.........................] - ETA: 421s - loss: 0.3838 - acc: 0.8438
 26/140 [====>.........................] - ETA: 416s - loss: 0.3807 - acc: 0.8474
 27/140 [====>.........................] - ETA: 413s - loss: 0.3855 - acc: 0.8455
 28/140 [=====>........................] - ETA: 411s - loss: 0.3817 - acc: 0.8460
 29/140 [=====>........................] - ETA: 409s - loss: 0.3850 - acc: 0.8438
 30/140 [=====>........................] - ETA: 406s - loss: 0.3851 - acc: 0.8438
 31/140 [=====>........................] - ETA: 403s - loss: 0.3890 - acc: 0.8432
 32/140 [=====>........................] - ETA: 400s - loss: 0.3844 - acc: 0.8452
 33/140 [======>.......................] - ETA: 396s - loss: 0.3896 - acc: 0.8433
 34/140 [======>.......................] - ETA: 393s - loss: 0.3943 - acc: 0.8424
 35/140 [======>.......................] - ETA: 391s - loss: 0.3950 - acc: 0.8420
 36/140 [======>.......................] - ETA: 387s - loss: 0.3913 - acc: 0.8433
 37/140 [======>.......................] - ETA: 382s - loss: 0.3964 - acc: 0.8450
 38/140 [=======>......................] - ETA: 377s - loss: 0.3959 - acc: 0.8466
 39/140 [=======>......................] - ETA: 373s - loss: 0.3953 - acc: 0.8462
 40/140 [=======>......................] - ETA: 371s - loss: 0.3973 - acc: 0.8445
 41/140 [=======>......................] - ETA: 370s - loss: 0.3956 - acc: 0.8460
 42/140 [========>.....................] - ETA: 371s - loss: 0.3985 - acc: 0.8445
